''<small>biological</small>  gender''  –  '''lo te seksi'''

''<small>method of</small>  vaccination''  –  '''lo ve jinku'''

''<small>in other</small>  words''  –  '''va&apos;i'''

''%''  –  '''ce&apos;i'''

''&#44; (comma)''  –  '''slaka bu'''

''&apos; (letter)''  –  '''y&apos;y'''

''( (bracket)''  –  '''vei'''

'') (bracket)''  –  '''ve&apos;o'''

''+ (addition operator)''  –  '''su&apos;i'''

''. (symbol)''  –  '''denpa bu'''

''/ (division operator)''  –  '''fe&apos;i'''

''all except ...''  –  '''da&apos;a'''

''alley''  –  '''lo klaji'''

''allow''  –  '''e&apos;a'''

''<small>to</small> allow''  –  '''permite'''

''<small>what is</small> allowed''  –  '''lo te permite'''

''almost (about to be)''  –  '''so&apos;a va&apos;e'''

''almost all''  –  '''so&apos;a'''

''alone''  –  '''ka&apos;ai no drata'''

''alone''  –  '''lo sepli'''

''alone (without help)''  –  '''si&apos;u nai'''

''along a line''  –  '''vi&apos;i'''

''along with ...''  –  '''ce'''

''along with ...''  –  '''jo&apos;u'''

''alongside ...''  –  '''zo&apos;a'''

''alphabet''  –  '''lo se lerfu'''

''alphabetic symbol''  –  '''lo lerfu'''

''already''  –  '''ca&apos;o'''

''already''  –  '''pu&apos;i'''

''already''  –  '''xa&apos;o'''

''also''  –  '''ji&apos;a'''

''although''  –  '''ku&apos;i'''

''always''  –  '''ro roi'''

''America''  –  '''la amerik'''

''American (of the United States)''  –  '''lo merko'''

''<small>to be</small> among (between)''  –  '''jbini'''

''<small>to be</small> among''  –  '''me'''

''among others''  –  '''po&apos;o nai'''

''amount''  –  '''lo se klani'''

''amphibian''  –  '''lo banfi'''

''amused''  –  '''lo se zdile'''

''amusing''  –  '''lo zdile'''

''<small>something</small> analysed''  –  '''lo se lanli'''

''analyst''  –  '''lo lanli'''

''<small>to</small> analyze''  –  '''lanli'''

''ancestor''  –  '''lo dzena'''

''and''  –  '''e'''

''and''  –  '''ge'''

''and''  –  '''gi&apos;e'''

''and''  –  '''gu&apos;e'''

''and''  –  '''je'''

''and''  –  '''zi&apos;e'''

''and also ...''  –  '''ce'''

''and not''  –  '''gi&apos;e nai'''

''and respectively ...''  –  '''fa&apos;u'''

''and so on ...''  –  '''li&apos;o'''

''and then ...''  –  '''ce&apos;o'''

''and/or''  –  '''a'''

''and/or''  –  '''ga'''

''and/or''  –  '''gi&apos;a'''

''and/or''  –  '''gu&apos;a'''

''and/or''  –  '''ja'''

''angle''  –  '''lo jganu'''

''angry''  –  '''lo fengu'''

''animal''  –  '''lo danlu'''

''ankle''  –  '''lo tornozelo'''

''Anne (personal name)''  –  '''la an'''

''<small>to</small> annoy''  –  '''fanza'''

''annoyed person''  –  '''lo se fanza'''

''annoying event''  –  '''lo fanza'''

''another''  –  '''lo drata'''

''another thing''  –  '''mi&apos;u nai'''

''answer''  –  '''lo se spusku'''

''<small>to</small> answer''  –  '''spusku'''

''<small>to</small> answer to''  –  '''spuda'''

''ant''  –  '''lo manti'''

''anti-''  –  '''to&apos;e'''

''anus''  –  '''lo ganxo'''

''anxious''  –  '''lo xanka'''

''<small>in</small> any case''  –  '''fau ro da'''

''anyway''  –  '''ta&apos;i ro da'''

''apostrophe''  –  '''y&apos;y'''

''apparatus''  –  '''lo cabra'''

''<small>to</small> appear''  –  '''to&apos;e canci'''

''apple''  –  '''lo plise'''

''<small>to</small> approve of''  –  '''zanru'''

''approximately ...''  –  '''ji&apos;i'''

''Arabic''  –  '''lo xrabo'''

''arch''  –  '''lo bargu'''

''area of expansion''  –  '''lo se preja'''

''<small>to</small> argue''  –  '''darlu'''

''arm''  –  '''lo birka'''

''arm (weapon)''  –  '''lo xarci'''

''arm of a lever''  –  '''lo ve vraga'''

''army''  –  '''lo jenmi'''

''army of soldiers''  –  '''lo se sonci'''

''around''  –  '''ru&apos;u'''

''<small>to</small> arrange (organize)''  –  '''ganzu'''

''<small>to</small> arrive at''  –  '''tsuku'''

''art''  –  '''lo larcu'''

''arthropod''  –  '''lo cinki'''

''artificial''  –  '''lo rutni'''

''<small>piece of</small> artwork''  –  '''lo arte'''

''as (in the form of)''  –  '''se tai'''

''as (in the manner)''  –  '''tai'''

''as (to the same degree)''  –  '''du&apos;i'''

''as I already said''  –  '''ke&apos;u'''

''as much as ...''  –  '''du&apos;i'''

''as said by ...''  –  '''cu&apos;u'''

''as soon as''  –  '''ba zi'''

''asana''  –  '''lo asna'''

''ashamed''  –  '''lo ckeji'''

''ashes''  –  '''festi lo nu fagri'''

''Asia''  –  '''la asi&apos;as'''

''Asiatic''  –  '''lo xazdo'''

''<small>to</small> ask''  –  '''retsku'''

''<small>to</small> ask for''  –  '''cpedu'''

''asker''  –  '''lo retsku'''

''asleep''  –  '''lo sipna'''

''<small>to</small> assemble''  –  '''zbasu'''

''assembler''  –  '''lo zbasu'''

''<small>to</small> assert''  –  '''xusra'''

''association (organization)''  –  '''lo bende'''

''assorted''  –  '''lo vrici'''

''<small>to</small> assume''  –  '''sruma'''

''assumed''  –  '''lo se sruma'''

''<small>to</small> astonish''  –  '''marvele'''

''at ... (some place)''  –  '''bu&apos;u'''

''at ... (some time)''  –  '''ca'''

''at any time''  –  '''ca ro da'''

''At ease!''  –  '''ju&apos;i cu&apos;i'''

''at first''  –  '''pa mai'''

''at least''  –  '''do&apos;a nai'''

''at least ...''  –  '''su&apos;o'''

''at most ...''  –  '''su&apos;e'''

''atom''  –  '''lo ratni'''

''atom''  –  '''lo selci'''

''atomic number''  –  '''lo se ratni'''

''<small>to</small> attack''  –  '''gunta'''

''attacked''  –  '''lo se gunta'''

''attacker''  –  '''lo gunta'''

''<small>object of</small> attention''  –  '''lo se jundi'''

''attention!''  –  '''ju&apos;i'''

''attentive''  –  '''lo jundi'''

''<small>to</small> attract''  –  '''trina'''

''attracted''  –  '''lo se trina'''

''attractive''  –  '''lo trina'''

''audacious behaviour''  –  '''lo se darsi'''

''audience''  –  '''lo te cusku'''

''audience''  –  '''lo te smusku'''

''audience of a performance''  –  '''lo te tigni'''

''aunt''  –  '''lo famti'''

''Australia''  –  '''la australi&apos;as'''

''Australian''  –  '''lo sralo'''

''<small>someone with</small> authority''  –  '''lo catni'''

''automatic''  –  '''lo zmiku'''

''autumn''  –  '''lo critu'''

''avenue''  –  '''lo klaji'''

''<small>to</small> avoid''  –  '''rivbi'''

''avoided event''  –  '''lo se rivbi'''

''<small>someone</small> awake''  –  '''lo cikna'''

''aware''  –  '''lo sanji'''

''away from ...''  –  '''to&apos;o'''

''awful''  –  '''lo mabla'''

''aww! (love)''  –  '''iu'''

''axis of rotation''  –  '''lo se carna'''

''axle''  –  '''lo jendu'''

''axle of a pulley''  –  '''lo te pulni'''

''B (hex digit)''  –  '''fei'''

''b (letter)''  –  '''by'''

''baby''  –  '''lo cifnu'''

''back (of body)''  –  '''lo bekpi'''

''back to the main point''  –  '''ta&apos;o nai'''

''backbone''  –  '''loi verteba'''

''bacteria''  –  '''lo jurme'''

''bad''  –  '''lo xlali'''

''<small>to</small> baffle''  –  '''cfipu'''

''baffled''  –  '''lo se cfipu'''

''bag''  –  '''lo dakli'''

''baked in an oven''  –  '''lo se toknu'''

''balanced''  –  '''lo lanxe'''

''balcony''  –  '''lo balni'''

''baleen whale''  –  '''lo balnema'''

''ball''  –  '''lo bolci'''

''bamboo''  –  '''lo bambu'''

''banana''  –  '''lo badna'''

''band (team)''  –  '''lo bende'''

''bank''  –  '''lo banxa'''

''bank owner''  –  '''lo se banxa'''

''bank system''  –  '''lo se banxa'''

''banner''  –  '''lo lanci'''

''bar''  –  '''lo barja'''

''bare''  –  '''lo lunbe'''

''bark (of tree)''  –  '''lo skapi'''

''barley''  –  '''lo bavmi'''

''base of a cone''  –  '''lo se konju'''

''base of a logarithm''  –  '''lo te dugri'''

''based on ...''  –  '''se ji&apos;u'''

''basic''  –  '''lo jicmu'''

''basic subunit''  –  '''lo selci'''

''<small>shallow</small> basin''  –  '''lo tansi'''

''basis''  –  '''lo jicmu'''

''basket''  –  '''lo lanka'''

''bay''  –  '''lo zbani'''

''<small>to</small> be (one of)''  –  '''me'''

''be (to be equal''  –  '''du'''

''bead''  –  '''lo bidju'''

''bear (animal)''  –  '''lo cribe'''

''<small>to</small> bear''  –  '''bevri'''

''<small>to</small> beat''  –  '''darxi'''

''beater of a drum''  –  '''lo se damri'''

''beautiful''  –  '''lo melbi'''

''<small>logically</small> because ...''  –  '''ni&apos;i'''

''because of reason ...''  –  '''ki&apos;u'''

''because of the cause ...''  –  '''ri&apos;a'''

''<small>to</small> become''  –  '''binxo'''

''<small>to</small> become''  –  '''co&apos;a'''

''bed''  –  '''lo ckana'''

''bee''  –  '''lo bifce'''

''beer''  –  '''lo birje'''

''beet''  –  '''lo betka'''

''before ... (in time)''  –  '''pu'''

''<small>to</small> befriend''  –  '''co&apos;a pendo'''

''befuddling event''  –  '''lo se burna'''

''<small>to</small> beg''  –  '''pikci'''

''<small>to</small> begin''  –  '''cfari'''

''beginning''  –  '''lo cfari'''

''beginning (first part) of an event''  –  '''lo incipe'''

''<small>to</small> behave''  –  '''tarti'''

''behavior''  –  '''lo se tarti'''

''behaviour''  –  '''lo se tarti'''

''behind''  –  '''ti&apos;a'''

''Beijing''  –  '''la beidzin'''

''<small>live</small> being''  –  '''lo jmive'''

''belief (fact in which one believes)''  –  '''lo se krici'''

''<small>to</small> believe''  –  '''krici'''

''believer''  –  '''lo krici'''

''bell''  –  '''lo janbe'''

''belly''  –  '''lo betfu'''

''<small>to</small> belong to (be a part of)''  –  '''pagbu'''

